product_name,product_type,ingredient_name,what_it_does,irritancy,comedogenicity,id_rating
"CeraVe
Moisturizing Cream",Unknown Type,Aqua,solvent,,,
"CeraVe
Moisturizing Cream",Unknown Type,Glycerin,"skin-identical ingredient, moisturizer/humectant",0.0,0.0,Superstar
"CeraVe
Moisturizing Cream",Unknown Type,Cetearyl Alcohol,"emollient, viscosity controlling, emulsifying, surfactant/cleansing",1.0,2.0,
"CeraVe
Moisturizing Cream",Unknown Type,Caprylic/Capric Triglyceride,emollient,,,
"CeraVe
Moisturizing Cream",Unknown Type,Cetyl Alcohol,"emollient, viscosity controlling",2.0,2.0,
"CeraVe
Moisturizing Cream",Unknown Type,Ceteareth-20,"emulsifying, surfactant/cleansing",3.0,2.0,
"CeraVe
Moisturizing Cream",Unknown Type,Petrolatum,emollient,,,Goodie
"CeraVe
Moisturizing Cream",Unknown Type,Potassium Phosphate,buffering,,,
"CeraVe
Moisturizing Cream",Unknown Type,Ceramide NP,skin-identical ingredient,,,Goodie
"CeraVe
Moisturizing Cream",Unknown Type,Ceramide AP,skin-identical ingredient,,,Goodie
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"CeraVe
Moisturizing Cream",Unknown Type,,,,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,Aqua (Water),solvent,,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,Sodium Hyaluronate,"skin-identical ingredient, moisturizer/humectant",0.0,0.0,Goodie
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,Pentylene Glycol,"solvent, moisturizer/humectant",,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,Propanediol,"solvent, moisturizer/humectant",,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,Sodium Hyaluronate Crosspolymer,"skin-identical ingredient, antioxidant, moisturizer/humectant",,,Goodie
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,Panthenol,"soothing, moisturizer/humectant",0.0,0.0,Goodie
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,Ahnfeltia Concinna Extract,viscosity controlling,,,Goodie
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,Glycerin,"skin-identical ingredient, moisturizer/humectant",0.0,0.0,Superstar
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,Trisodium Ethylenediamine Disuccinate,chelating,,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,Citric Acid,buffering,,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,,,,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,,,,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,,,,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,,,,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,,,,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,,,,,
"The Ordinary
Hyaluronic Acid 2% + B5",Unknown Type,,,,,
